caso_id_canonico,parser_es_revision_fondo,parser_disposicion,parser_reenvia,parser_parte_ganadora,parser_via_recurso,parser_multi_recurso,_ctx_outcome_m19,_ctx_is_merit
346_p1339,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,procedente,1
347_p360,no,deja_sin_efecto,no,recurrente_gana,,no,competencia,0
347_p412,no,no_fondo,no,no_aplica,recurso_extraordinario,si,otro,0
347_p606,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
347_p833,no,no_fondo,no,no_aplica,,no,competencia,0
347_p1031,no,no_revision_procesal,no,no_aplica,recurso_extraordinario,no,mal_concedido,0
347_p1046,no,no_fondo,no,no_aplica,,no,desestima,0
347_p1137,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
347_p1191,si,confirma,no,recurrente_pierde,recurso_extraordinario,si,confirma,1
347_p1215,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,procedente,1
347_p2001,no,no_fondo,no,no_aplica,recurso_extraordinario,no,desestima,0
347_p2025,no,no_fondo,no,no_aplica,recurso_extraordinario,no,desestima,0
348_p61,no,no_fondo,no,no_aplica,,no,rechaza,0
348_p92,no,no_revision_procesal,no,no_aplica,recurso_extraordinario,no,hace_lugar,0
348_p113,si,revoca,si,recurrente_gana,recurso_extraordinario,no,procedente,1
348_p169,si,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
348_p296,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
348_p405,si,no_revision_demanda,no,no_aplica,,no,hace_lugar,1
348_p708,no,no_fondo,no,no_aplica,,no,rechaza,0
348_p1347,no,no_fondo,no,no_aplica,,no,abstracto,0
348_p1378,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,si,hace_lugar,1
348_p1499,no,revoca,no,recurrente_gana,recurso_extraordinario,no,abstracto,0
348_p1576,no,no_fondo,no,no_aplica,recurso_extraordinario,no,competencia,0
348_p1717,no,nulidad_concesion,no,no_aplica,recurso_extraordinario,no,nulidad_concesion,0
349_p95,no,revoca,no,recurrente_gana,recurso_ordinario,no,abstracto,0
349_p148,si,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
349_p280,si,revoca,no,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
329_p4150,si,no_revision_demanda,no,no_aplica,,no,rechaza,1
329_p4356,no,no_fondo,no,no_aplica,,no,desestima,0
329_p4503,si,confirma,no,recurrente_pierde,recurso_ordinario,no,confirma,1
331_p978,no,no_fondo,no,no_aplica,recurso_extraordinario,no,desestima,0
332_p2208,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,procedente,1
341_p560,no,no_fondo,no,no_aplica,,no,otro,0
343_p595,no,no_fondo,no,no_aplica,,no,otro,0
346_p658,si,confirma,no,recurrente_pierde,recurso_ordinario,no,confirma,1
