caso_id,tomo,tipo_cambio,old_outcome,new_outcome,old_vp,new_vp,old_n,new_n,old_pet,new_pet,new_variante,new_firma
329_p5741,329,REGRESION_menos_jueces,otro,otro,disidencia,unanime,9,2,"Por ello, Se Resuelve: Desestimar las presentaciones efectua","Por ello, Se Resuelve: Disponer que se liquide a favor de la",por_ello,CARLOS S. FAYT — E. RAÚL ZAFFARONI.
329_p5769,329,REGRESION_menos_jueces,otro,otro,segun_su_voto,unanime,6,1,"Por ello, de conformidad con lo dictaminado a fs. 50/52, se ","Por ello, de conformidad con lo dictaminado a fs. 50/52 se d",por_ello,CARMEN M. ARGIBAY.
329_p5814,329,REGRESION_menos_jueces,otro,originaria,disidencia,unanime,7,2,"Por ello y oído el señor Procurador Fiscal subrogante, se re","Por ello, y de conformidad con lo dictaminado por el señor P",por_ello,CARLOS S. FAYT — E. RAÚL ZAFFARONI.
329_p5871,329,REGRESION_menos_jueces,hace_lugar,revoca,segun_su_voto,unanime,7,1,"Por ello, y oído el señor Procurador Fiscal, se hace lugar a","Por ello y oído el señor Procurador Fiscal, se revoca la res",por_ello,E. RAÚL ZAFFARONI.
329_p5903,329,mejora_gano_firma,otro,procedente,sin_firma,unanime,0,1,de conformidad con el procedimiento previsto por el art. 11 ,"Por ello, oído el señor Procurador General, se declara proce",por_ello,CARLOS S. FAYT.
329_p5994,329,mejora_gano_firma,otro,hace_lugar,sin_firma,segun_su_voto,0,5,"En consecuencia, la denegación de la vía casatoria se apoyó ","Por ello, y lo dictaminado en sentido concordante por el señ",por_ello,ENRIQUE SANTIAGO PETRACCHI (según su voto) — ELENA I. HIGHTON DE NOLASCO — JUAN 
329_p6038,329,REGRESION_menos_jueces,originaria,originaria,segun_su_voto,unanime,4,1,"Por ello, se resuelve: I. Rechazar la oposición. Con costas.","Por ello, se resuelve: I. Rechazar la oposición. Con costas.",por_ello,"CARMEN M. ARGIBAY. Abogados intervinientes en este incidente: Mariano A. Traini,"
329_p6087,329,mejora_mas_jueces,otro,otro,unanime,disidencia,5,6,"Por ello, se declaran procedentes los recursos extraordinari","Por ello, Acordaron: 1º) Crear en el ámbito de la Corte Supr",por_ello,"el libro correspondiente, por ante mí, que doy fe. — ENRIQUE SANTIAGO PETRACCHI "
330_p76,330,mejora_gano_firma,otro,hace_lugar,sin_firma,disidencia,0,7,"Por ello, planteó ante el Superior Tribunal de Justicia una ","Por ello, oído el señor Procurador Fiscal subrogante, se hac",por_ello,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO (en disidencia) — CARLOS S
330_p103,330,cambio_outcome,otro,originaria,unanime,unanime,5,5,"En su mérito, y por no formar parte dicha agencia de la admi","Por ello, y de conformidad con lo dictaminado a fs. 195 por ",por_ello,ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE SANTIAGO PETRACCHI — JUAN
330_p208,330,REGRESION_menos_jueces,competencia,competencia,unanime,unanime,5,2,Por los fundamentos y conclusiones del dictamen del señor Pr,Por los fundamentos y conclusiones del dictamen del señor Pr,por_los_fund,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — ENRIQUE
330_p210,330,cambio_outcome,competencia,otro,unanime,unanime,5,5,Por los fundamentos y conclusiones del dictamen del señor Pr,Por los fundamentos y conclusiones del dictamen del señor Pr,por_los_fund,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — ENRIQUE SANTIAGO PETRACC
330_p251,330,mejora_gano_firma,otro,originaria,sin_firma,segun_su_voto,0,5,"De conformidad con lo previsto por el art. 24, inc. 7°, últi","Por ello, Se Resuelve: I.– Dejar sin efecto la excusación de",por_ello,RICARDO LUIS LORENZETTI — CARLOS S. FAYT — ENRIQUE SANTIAGO PETRACCHI — JUAN CAR
330_p345,330,REGRESION_menos_jueces,desestima,hace_lugar,disidencia,unanime,7,3,"Por ello, oído el señor Procurador Fiscal subrogante, se des","Por ello, oído el señor Procurador Fiscal subrogante se hace",por_ello,CARLOS S. FAYT — JUAN CARLOS MAQUEDA — E. RAÚL ZAFFARONI.
330_p530,330,mejora_gano_firma,otro,otro,sin_firma,unanime,0,6,"En consecuencia, la Provincia de Misiones concluye que esas ",Por ello se resuelve rechazar la demanda contra la Provincia,por_ello,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE
330_p563,330,mejora_gano_firma,otro,otro,sin_firma,disidencia,0,7,"Por lo expuesto, cabe admitir la responsabilidad del club or","Por ello, se decide: I. Hacer lugar a la demanda seguida por",por_ello,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO (CON AMPLIACIÓN DE FUNDAME
330_p642,330,REGRESION_menos_jueces,otro,otro,mixed,unanime,7,2,"Por ello, y lo dictaminado en concordancia por la señora Pro","Por ello, oída la señora Procuradora Fiscal subrogante, se d",por_ello,ELENA I. HIGHTON DE NOLASCO — ENRIQUE SANTIAGO PETRACCHI. Recursos extraordinari
330_p694,330,REGRESION_menos_jueces,procedente,desestima,disidencia,unanime,9,1,"Por ello, se declara procedente el recurso extraordinario co","Por ello, se desestima la queja y se declara procedente el r",por_ello,"CARMEN M. ARGIBAY. Recurso extraordinario interpuesto por Ricardo Alberto Hase, "
330_p1135,330,mejora_gano_firma,otro,otro,sin_firma,segun_su_voto,0,7,De conformidad con las previsiones contenidas en la ley 24.6,Por ello y de conformidad con lo dictaminado por la señora P,por_ello,RICARDO LUIS LORENZETTI (según su voto) — ELENA I. HIGHTON DE NOLASCO — CARLOS S
330_p1191,330,mejora_mas_jueces,competencia,procedente,unanime,disidencia,5,7,De conformidad con lo dictaminado por la señora Procuradora ,"Por ello, se declara procedente el recurso extraordinario y ",por_ello,RICARDO LUIS LORENZETTI (en disidencia) — ELENA I. HIGHTON DE NOLASCO (en diside
330_p1261,330,REGRESION_menos_jueces,originaria,otro,disidencia,unanime,7,1,"Por ello, se resuelve: I. Declarar que la presente causa es ","Por ello, se resuelve: I– Declarar que la presente causa es ",por_ello,CARMEN M. ARGIBAY. Profesionales intervinientes: por la actora Dra. María Laura 
330_p1309,330,mejora_mas_jueces,procedente,otro,unanime,segun_su_voto,6,7,"Por ello, se declara procedente el recurso ordinario de la a","Por ello, Acordaron: I. Aprobar el reglamento sobre los escr",por_ello,"el libro correspondiente, por ante mí, que doy fe. — RICARDO LUIS LORENZETTI — E"
