caso,tomo,firma_nueva,lfr_viejo,lfr_nuevo,pista_nueva,tipo
333_p1304,333,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt (en disid,20772,20894,caratula_siguiente,MEJORA
333_p1474,333,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Enrique,29572,33151,caratula_siguiente,MEJORA
333_p1869,333,Ricardo Luis Lorenzetti (en disidencia)— Carlos S. Fayt — Enrique Santiago Petra,43402,43590,sumario_siguiente,MEJORA
334_p178,334,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Juan Ca,7196,7323,caratula_siguiente,MEJORA
334_p187,334,Elena I. Highton de Nolasco (en disidencia) — Carlos S. Fayt — Enrique Santiago ,7535,7647,caratula_siguiente,MEJORA
334_p236,334,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Enrique Santiago Petracc,9292,9365,caratula_siguiente,MEJORA
334_p541,334,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Enrique,21093,21497,caratula_siguiente,MEJORA
334_p698,334,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco (en disidencia) — Carlos S,27502,27867,caratula_siguiente,MEJORA
334_p763,334,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco (según su voto) — Carlos S,2035,2090,caratula_siguiente,MEJORA
334_p891,334,Ricardo Luis Lorenzetti — Carlos S. Fayt — Enrique Santiago Petracchi — Juan Car,6971,7018,caratula_siguiente,MEJORA
334_p1216,334,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Enrique,6112,6640,caratula_siguiente,MEJORA
334_p1387,334,Carlos S. Fayt — Enrique Santiago Petracchi — Juan Carlos Maqueda — E. Raúl Zaff,13623,13708,caratula_siguiente,MEJORA
337_p179,337,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Juan Ca,7214,7414,marcador_apertura_siguiente,MEJORA
337_p256,337,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco (según su voto)— Carlos S.,10534,11360,caratula_siguiente,MEJORA
337_p486,337,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Enrique,19252,19356,caratula_siguiente,MEJORA
337_p611,337,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Enrique,24294,24747,caratula_siguiente,MEJORA
337_p731,337,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Juan Ca,28919,29061,caratula_siguiente,MEJORA
337_p753,337,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Enrique,30056,30118,caratula_siguiente,MEJORA
337_p1108,337,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos,8710,8780,firma_actual,MEJORA
337_p1439,337,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Juan Ca,21591,21875,caratula_siguiente,MEJORA
337_p1530,337,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco (en disidencia)— Juan Carl,25561,25596,caratula_siguiente,MEJORA
338_p29,338,Elena I. Highton de Nolasco — Carlos S. Fayt — Juan Carlos Maqueda.,1222,1366,caratula_siguiente,MEJORA
338_p80,338,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos,2987,3255,firma_actual,MEJORA
338_p221,338,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Juan Ca,8609,8843,caratula_siguiente,MEJORA
338_p298,338,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Juan Ca,11865,11897,caratula_siguiente,MEJORA
338_p313,338,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Juan Carlos Maqueda.,12256,12959,caratula_siguiente,MEJORA
338_p793,338,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Juan Ca,4070,4187,caratula_siguiente,MEJORA
339_p61,339,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Juan Carlos Maqueda.,2701,2747,caratula_siguiente,MEJORA
339_p94,339,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Juan Carlos Maqueda.,3499,3838,caratula_siguiente,MEJORA
339_p160,339,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Juan Carlos Maqueda.,6059,6191,caratula_siguiente,MEJORA
339_p168,339,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Juan Carlos Maqueda.,6312,6372,caratula_siguiente,MEJORA
339_p381,339,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Juan Carlos Maqueda.,14327,14418,caratula_siguiente,MEJORA
339_p434,339,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Juan Carlos Maqueda.,16408,16505,caratula_siguiente,MEJORA
339_p464,339,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Juan Carlos Maqueda.,17323,17399,caratula_siguiente,MEJORA
