caso_id_canonico,tomo,archivo,linea_inicio,linea_fin_catalogo,linea_fin_real,delta_lineas,status_fin,pista
329_p909,329,LibroVol329.1.md,34311,34962,34964,2,fin_extendido_pag_compartida,caratula_siguiente
329_p926,329,LibroVol329.1.md,34963,35037,35045,8,fin_extendido_pag_compartida,caratula_siguiente
329_p928,329,LibroVol329.1.md,35038,35381,35382,1,fin_extendido_pag_compartida,caratula_siguiente
329_p937,329,LibroVol329.1.md,35382,35573,35545,-28,fin_dentro_bloque,caratula_siguiente
329_p942,329,LibroVol329.1.md,35574,35919,35949,30,fin_extendido_pag_compartida,caratula_siguiente
329_p951,329,LibroVol329.1.md,35920,36074,36100,26,fin_extendido_pag_compartida,caratula_siguiente
329_p955,329,LibroVol329.1.md,36075,36223,36157,-66,fin_dentro_bloque,caratula_siguiente
329_p959,329,LibroVol329.1.md,36224,36341,36343,2,fin_extendido_pag_compartida,caratula_siguiente
329_p963,329,LibroVol329.1.md,36342,36705,36706,1,fin_extendido_pag_compartida,caratula_siguiente
329_p972,329,LibroVol329.1.md,36706,36857,36871,14,fin_extendido_pag_compartida,sumario_siguiente
329_p976,329,LibroVol329.1.md,36858,37157,37183,26,fin_extendido_pag_compartida,caratula_siguiente
329_p984,329,LibroVol329.1.md,37158,37311,37332,21,fin_extendido_pag_compartida,caratula_siguiente
329_p988,329,LibroVol329.1.md,37312,37341,37378,37,fin_extendido_pag_compartida,caratula_siguiente
329_p989,329,LibroVol329.1.md,37342,37407,37433,26,fin_extendido_pag_compartida,caratula_siguiente
329_p991,329,LibroVol329.1.md,37408,37472,37473,1,fin_extendido_pag_compartida,caratula_siguiente
329_p993,329,LibroVol329.1.md,37473,37622,37624,2,fin_extendido_pag_compartida,sumario_siguiente
329_p997,329,LibroVol329.1.md,37623,37802,37747,-55,fin_dentro_bloque,caratula_siguiente
329_p1002,329,LibroVol329.1.md,37803,37978,37974,-4,fin_dentro_bloque,caratula_siguiente
329_p1007,329,LibroVol329.1.md,37979,38170,38150,-20,fin_dentro_bloque,caratula_siguiente
329_p1012,329,LibroVol329.1.md,38171,38441,38460,19,fin_extendido_pag_compartida,caratula_siguiente
329_p1019,329,LibroVol329.1.md,38442,38548,38457,-91,fin_dentro_bloque,caratula_siguiente
329_p1022,329,LibroVol329.1.md,38549,38623,38638,15,fin_extendido_pag_compartida,sumario_siguiente
329_p1024,329,LibroVol329.1.md,38624,38764,38765,1,fin_extendido_pag_compartida,caratula_siguiente
329_p1028,329,LibroVol329.1.md,38765,38838,38859,21,fin_extendido_pag_compartida,caratula_siguiente
329_p1030,329,LibroVol329.1.md,38839,38937,38938,1,fin_extendido_pag_compartida,caratula_siguiente
329_p1033,329,LibroVol329.1.md,38938,39010,39030,20,fin_extendido_pag_compartida,caratula_siguiente
329_p1035,329,LibroVol329.1.md,39011,39188,39191,3,fin_extendido_pag_compartida,caratula_siguiente
329_p1040,329,LibroVol329.1.md,39189,39376,39382,6,fin_extendido_pag_compartida,caratula_siguiente
329_p1045,329,LibroVol329.1.md,39377,39520,39541,21,fin_extendido_pag_compartida,caratula_siguiente
329_p1049,329,LibroVol329.1.md,39521,39664,39675,11,fin_extendido_pag_compartida,caratula_siguiente
329_p1053,329,LibroVol329.1.md,39665,40170,40191,21,fin_extendido_pag_compartida,caratula_siguiente
329_p1066,329,LibroVol329.1.md,40171,41172,41154,-18,fin_dentro_bloque,sumario_siguiente
329_p1092,329,LibroVol329.1.md,41173,44797,44789,-8,fin_dentro_bloque,sumario_siguiente
329_p1180,329,LibroVol329.1.md,44798,45237,45247,10,fin_extendido_pag_compartida,caratula_siguiente
329_p1191,329,LibroVol329.1.md,45238,45935,45940,5,fin_extendido_pag_compartida,caratula_siguiente
329_p1209,329,LibroVol329.1.md,45936,46327,46342,15,fin_extendido_pag_compartida,caratula_siguiente
329_p1219,329,LibroVol329.1.md,46328,46506,46516,10,fin_extendido_pag_compartida,caratula_siguiente
329_p1224,329,LibroVol329.1.md,46507,46579,46607,28,fin_extendido_pag_compartida,caratula_siguiente
329_p1226,329,LibroVol329.1.md,46580,46966,46990,24,fin_extendido_pag_compartida,sumario_siguiente
329_p1236,329,LibroVol329.1.md,46967,47157,47161,4,fin_extendido_pag_compartida,caratula_siguiente
329_p1241,329,LibroVol329.1.md,47158,47225,47231,6,fin_extendido_pag_compartida,caratula_siguiente
329_p1243,329,LibroVol329.1.md,47226,47301,47316,15,fin_extendido_pag_compartida,caratula_siguiente
329_p1245,329,LibroVol329.1.md,47302,49510,49511,1,fin_extendido_pag_compartida,caratula_siguiente
