caso_id_canonico,marco,origen_b,doble_cod,materia_capa,materia_fuente,parser_materia
340_p1450,A,,0,pendiente_capa2,sin_ancla,
340_p1551,A,,1,capa1,regla:contencioso administrativo,contencioso_administrativo
340_p1554,A,,0,capa1,regla:contencioso administrativo,contencioso_administrativo
340_p257,B,materia=lesa_humanidad,0,capa2,kw(1),lesa_humanidad
340_p397,A,,0,pendiente_capa2,sin_ancla,
340_p431,A,,0,capa2,provincia:ca,contencioso_administrativo
340_p628,B,materia=salud,0,capa2,coocur:salud_amparo,salud
340_p708,A,,0,capa2,objeto(1),penal
340_p732,A,,0,pendiente_capa2,sin_ancla,
340_p786,A,,1,capa2,norma:23737(1),penal
340_p822,A,,1,capa2,objeto(1),laboral
340_p88,B,materia=consumo,0,capa2,norma:24240(1),consumo
340_p900,A,,0,capa1,regla:contencioso administrativo,contencioso_administrativo
340_p905,B,materia=consumo,0,capa2,kw+norma:24240(2),consumo
340_p95,A,,0,capa2,objeto(1),civil_comercial
340_p991,B,materia=constitucional,0,capa2,objeto(1),constitucional
341_p127,A,,0,capa1,regla:contencioso administrativo,contencioso_administrativo
341_p1338,A,,0,originaria,originaria,
341_p1355,B,materia=electoral,0,capa1,regla:electoral,electoral
341_p1649,A,,0,capa2,provincia:ca,contencioso_administrativo
341_p289,B,materia=constitucional,0,capa2,objeto(1),constitucional
341_p32,B,materia=consumo,0,capa2,norma:24240(1),consumo
341_p324,A,,0,capa2,norma:25675(1),ambiental
341_p335,A,,0,pendiente_capa2,sin_ancla,
341_p500,A,,0,capa1,regla:contencioso administrativo,contencioso_administrativo
341_p560,A,,0,capa2,provincia:ca,contencioso_administrativo
341_p566,A,,0,capa1,regla:\ben lo civil\b,civil_comercial
341_p600,A,,0,capa1,regla:casacion penal,penal
341_p619,B,materia=ambiental,0,capa2,norma:25675(1),ambiental
342_p1028,B,materia=cambiario,0,capa2,parte(1),cambiario
342_p1061,B,materia=ambiental,0,capa2,norma:25675(1),ambiental
342_p1358,A,,0,capa1,regla:\ben lo civil\b,civil_comercial
342_p1393,A,,0,capa2,provincia:ca,contencioso_administrativo
342_p1456,A,,0,capa1,regla:contencioso administrativo,contencioso_administrativo
342_p1483,A,,0,pendiente_capa2,sin_ancla,
342_p2083,A,,0,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d),tributario
342_p2399,A,,0,capa1,regla:civil y comercial federal,civil_comercial
342_p266,B,materia=salud,0,capa2,coocur:salud_amparo,salud
342_p507,A,,0,capa1,regla:\ben lo comercial\b,civil_comercial
342_p58,B,materia=constitucional,0,capa2,objeto(1),constitucional
342_p692,B,materia=salud,0,capa2,coocur:salud_amparo,salud
342_p824,A,,1,capa2,provincia:ca,contencioso_administrativo
342_p969,A,,0,capa2,provincia:ca,contencioso_administrativo
343_p1233,A,,0,capa1,regla:\ben lo comercial\b,civil_comercial
343_p1319,A,,0,originaria,originaria,
343_p140,B,materia=consumo,0,capa2,kw(1),consumo
343_p1620,A,,0,capa1,regla:casacion penal,penal
343_p1688,A,,0,capa2,objeto(1),constitucional
343_p1718,B,materia=salud,0,capa2,coocur:salud_amparo,salud
343_p1944,A,,0,originaria,originaria,
343_p2176,B,materia=salud,0,capa2,coocur:salud_amparo,salud
343_p33,B,materia=constitucional,0,capa2,objeto(1),constitucional
343_p365,B,materia=constitucional,0,capa2,objeto(1),constitucional
343_p373,B,materia=ambiental,0,capa2,norma:24051+norma:25675(2),ambiental
343_p396,B,materia=ambiental,0,capa2,norma:24051+norma:25675(2),ambiental
343_p412,A,,0,pendiente_capa2,sin_ancla,
343_p42,B,materia=electoral,0,capa1,regla:electoral,electoral
343_p580,A,,0,capa2,objeto(1),civil_comercial
343_p595,A,,1,capa1,regla:civil y comercial federal,civil_comercial
343_p646,A,,0,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d),tributario
344_p1253,B,materia=salud,1,capa2,objeto(1),salud
344_p1260,B,materia=electoral,0,capa1,regla:electoral,electoral
344_p1283,A,,0,capa1,regla:\bdel trabajo\b,laboral
344_p1438,A,,0,pendiente_capa2,sin_ancla,
344_p1835,A,,0,capa2,provincia:ca,contencioso_administrativo
344_p1843,B,materia=electoral,0,capa1,regla:electoral,electoral
344_p2080,B,materia=salud,0,capa2,coocur:salud_amparo,salud
344_p2172,A,,0,capa2,coocur:indemniz_despido(desempate),laboral
344_p2339,B,materia=electoral,0,capa1,regla:electoral,electoral
344_p2393,A,,0,capa1,regla:casacion penal,penal
344_p251,B,materia=constitucional,0,capa2,objeto(1),constitucional
344_p2669,A,,0,pendiente_capa2,sin_ancla,
344_p2868,A,,0,capa2,norma:24901(1),civil_comercial
344_p2955,A,,0,capa1,regla:\ben lo comercial\b,civil_comercial
344_p3095,B,materia=consumo,1,capa2,kw+norma:24240(2),consumo
344_p3394,A,,0,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d),tributario
344_p344,A,,0,capa1,regla:contencioso administrativo,contencioso_administrativo
344_p3469,A,,1,pendiente_capa2,sin_ancla,
344_p575,B,materia=consumo,0,capa2,kw+norma:24240(2),consumo
344_p684,B,materia=consumo,0,capa2,norma:24240(1),consumo
344_p701,A,,0,capa2,objeto(1),contencioso_administrativo
345_p12,A,,0,capa2,objeto(1),contencioso_administrativo
