caso_id,tipo,vp_base,vp_new,lfr_base,lfr_new,n_jueces_new,firma_new
345_p1349,lfr_cambio,unanime,unanime,18353,17999,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
345_p1363,lfr_cambio,unanime,unanime,18605,18598,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
345_p1365,lfr_cambio,disidencia,disidencia,18787,18801,4,Horacio Rosatti — Carlos Fernando Rosenkrantz (en disidencia)— Juan Carlos Maque
345_p1370,REGRESION,unanime,sin_firma,18933,18782,0,
345_p1387,lfr_cambio,unanime,unanime,19742,19738,3,Horacio Rosatti — Juan Carlos Maqueda — Ricardo Luis Lorenzetti.
345_p140,lfr_cambio,unanime,unanime,5987,5978,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
345_p1409,lfr_cambio,unanime,unanime,20384,20378,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
345_p1470,lfr_cambio,unanime,unanime,22834,22830,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
345_p1496,cambio_vp,,,23765,23765,0,
345_p154,cambio_vp,,,6022,6022,0,
345_p155,cambio_vp,,,6062,6062,0,
345_p157,cambio_vp,,,6170,6164,0,
345_p160,cambio_vp,,,6242,6242,0,
345_p162,cambio_vp,,,6275,6275,0,
345_p181,cambio_vp,,,7021,7021,0,
345_p182,cambio_vp,,,7037,7037,0,
345_p183,cambio_vp,,,7067,7067,0,
345_p184,cambio_vp,,,7097,7097,0,
345_p185,cambio_vp,,,7114,7114,0,
345_p186,cambio_vp,,,7184,7184,0,
345_p187,cambio_vp,,,7229,7241,0,
345_p197,cambio_vp,unanime,,7714,7732,0,
345_p202,cambio_vp,,,7742,7742,0,
345_p203,cambio_vp,,,7758,7758,0,
345_p204,cambio_vp,,,8262,8279,0,
345_p217,lfr_cambio,unanime,unanime,8321,8256,4,"Horacio Rosatti, Carlos Fernando Rosenkrantz, Juan Carlos Maqueda y Ricardo Luis"
345_p219,cambio_vp,,,8355,8355,0,
345_p241,lfr_cambio,unanime,unanime,9203,9197,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
345_p243,cambio_vp,,,9242,9242,0,
345_p244,cambio_vp,,,9434,9434,0,
345_p250,cambio_vp,,,9474,9474,0,
345_p251,cambio_vp,,,9959,9952,0,
345_p270,lfr_cambio,unanime,unanime,10454,10444,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
345_p276,cambio_vp,,,10471,10471,0,
345_p277,cambio_vp,,,10520,10520,0,
345_p278,lfr_cambio,unanime,unanime,10646,10642,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
345_p282,cambio_vp,,,10751,10751,0,
345_p291,lfr_cambio,unanime,unanime,11186,11183,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
345_p297,cambio_vp,,,11246,11246,0,
345_p298,lfr_cambio,segun_su_voto,segun_su_voto,12572,12252,4,Horacio Rosatti (según su voto)— Carlos Fernando Rosenkrantz (según su voto)— Ju
345_p331,lfr_cambio,unanime,unanime,12799,12567,1,Carlos Fernando Rosenkrantz.
345_p338,cambio_vp,,,13227,13217,0,
345_p358,REGRESION,unanime,sin_firma,14417,14351,0,
345_p379,cambio_vp,,,14468,14468,0,
345_p380,cambio_vp,,,14487,14487,0,
345_p381,cambio_vp,,,14521,14521,0,
345_p382,cambio_vp,unanime,,14565,14599,0,
345_p383,cambio_vp,,,14579,14579,0,
345_p384,cambio_vp,,,14637,14637,0,
345_p386,cambio_vp,,,15182,15182,0,
345_p400,cambio_vp,,,15219,15219,0,
345_p401,lfr_cambio,segun_su_voto,segun_su_voto,15827,15803,4,Horacio Rosatti — Carlos Fernando Rosenkrantz (según su voto)— Juan Carlos Maque
345_p416,cambio_vp,,,15870,15870,0,
345_p417,lfr_cambio,disidencia,disidencia,16085,15937,4,Horacio Rosatti — Carlos Fernando Rosenkrantz (en disidencia)— Juan Carlos Maque
345_p50,lfr_cambio,unanime,unanime,2281,2298,4,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu
345_p583,lfr_cambio,disidencia,disidencia,22955,22591,4,Horacio Rosatti (en disidencia)- Carlos Fernando Rosenkrantz – Juan Carlos Maque
345_p600,cambio_vp,,,23034,23034,0,
345_p602,cambio_vp,,,23062,23062,0,
345_p603,cambio_vp,,,23093,23093,0,
345_p604,cambio_vp,,,23137,23137,0,
345_p605,cambio_vp,,,23242,23242,0,
345_p621,REGRESION,unanime,sin_firma,24127,24106,0,
345_p645,lfr_cambio,disidencia,disidencia,24750,24729,4,Horacio Rosatti — Carlos Fernando Rosenkrantz (en disidencia)— Juan Carlos Maque
345_p683,lfr_cambio,unanime,unanime,26265,26262,4,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu
345_p686,REGRESION,unanime,sin_firma,26333,26259,0,
345_p688,REGRESION,unanime,sin_firma,26570,26328,0,
345_p716,cambio_vp,,,27650,27650,0,
345_p728,lfr_cambio,unanime,unanime,27960,27952,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
345_p76,lfr_cambio,unanime,unanime,3149,3181,4,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu
345_p783,lfr_cambio,unanime,unanime,30233,30217,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
345_p788,cambio_vp,,,30243,30243,0,
345_p800,cambio_vp,,,30706,30706,0,
345_p849,cambio_vp,,,33274,33274,0,
345_p867,cambio_vp,,,33337,33337,0,
345_p89,lfr_cambio,unanime,unanime,3757,3740,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
345_p905,lfr_cambio,disidencia,disidencia,1701,1623,4,Horacio Rosatti — Carlos Fernando Rosenkrantz (en disidencia)— Juan Carlos Maque
345_p936,cambio_vp,,,2235,2235,0,
345_p937,cambio_vp,,,2268,2268,0,
345_p938,lfr_cambio,unanime,unanime,2549,2548,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
345_p945,REGRESION,unanime,sin_firma,2751,2549,0,
345_p950,cambio_vp,,,2771,2771,0,
345_p98,cambio_vp,,,3863,3863,0,
346_p1,lfr_cambio,mixed,mixed,504,479,4,Horacio Rosatti (en disidencia)— Carlos Fernando Rosenkrantz (según su voto)— Ju
346_p1015,lfr_cambio,segun_su_voto,segun_su_voto,10585,10423,4,Horacio Rosatti — Carlos Fernando Rosenkrantz (según su voto)— Juan Carlos Maque
346_p103,lfr_cambio,disidencia,disidencia,4436,4462,4,Horacio Rosatti (en disidencia)- Carlos Fernando Rosenkrantz – Juan Carlos Maque
346_p1039,lfr_cambio,mixed,mixed,11528,11506,4,Horacio Rosatti (en disidencia)— Carlos Fernando Rosenkrantz (según su voto)— Ju
346_p1062,cambio_vp,,,11573,11573,0,
346_p1063,cambio_vp,,,11620,11643,0,
346_p1075,lfr_cambio,mixed,mixed,12207,12184,4,Horacio Rosatti — Carlos Fernando Rosenkrantz (según su voto)— Juan Carlos Maque
346_p1082,cambio_vp,,,12379,12374,0,
346_p1089,lfr_cambio,unanime,unanime,13177,13207,4,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu
346_p1139,lfr_cambio,segun_su_voto,segun_su_voto,14691,14500,4,Horacio Rosatti — Carlos Fernando Rosenkrantz (según su voto)— Juan Carlos Maque
346_p1175,lfr_cambio,segun_su_voto,segun_su_voto,15969,15945,4,Horacio Rosatti (según su voto)— Carlos Fernando Rosenkrantz — Juan Carlos Maque
346_p1180,REGRESION,unanime,sin_firma,16500,15960,0,
346_p1194,cambio_vp,,,16524,16524,0,
346_p1195,cambio_vp,,,16539,16539,0,
346_p1196,cambio_vp,unanime,,16702,16743,0,
346_p1200,cambio_vp,,,16722,16722,0,
346_p1201,REGRESION,unanime,sin_firma,16899,16883,0,
346_p1205,lfr_cambio,unanime,unanime,17014,17031,4,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu
346_p1208,lfr_cambio,unanime,unanime,17163,17005,4,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu
346_p1212,lfr_cambio,disidencia,disidencia,17376,17354,4,Horacio Rosatti — Carlos Fernando Rosenkrantz (en disidencia)— Juan Carlos Maque
346_p1218,lfr_cambio,segun_su_voto,segun_su_voto,17954,17836,4,Horacio Rosatti — Carlos Fernando Rosenkrantz (según su voto)— Juan Carlos Maque
346_p1233,cambio_vp,,,17992,17992,0,
346_p1234,REGRESION,unanime,sin_firma,18274,18253,0,
346_p1241,cambio_vp,,,18323,18323,0,
346_p1243,cambio_vp,,,18519,18507,0,
346_p1272,lfr_cambio,unanime,unanime,19723,19720,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
346_p1279,cambio_vp,,,19738,19738,0,
346_p1295,cambio_vp,,,20379,20379,0,
346_p1296,lfr_cambio,disidencia,disidencia,20680,20658,4,Horacio Rosatti (en disidencia)— Carlos Fernando Rosenkrantz — Juan Carlos Maque
346_p1304,lfr_cambio,segun_su_voto,segun_su_voto,20961,20976,3,Horacio Rosatti (según su voto)— Carlos Fernando Rosenkrantz — Juan Carlos Maque
346_p1311,lfr_cambio,unanime,unanime,21026,21050,4,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu
346_p1313,lfr_cambio,unanime,unanime,21131,21022,4,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu
346_p133,lfr_cambio,unanime,unanime,5546,5137,4,Horacio Rosatti - Carlos Fernando Rosenkrantz – Juan Carlos Maqueda – Ricardo Lu
346_p1377,lfr_cambio,unanime,unanime,23578,23575,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
346_p1379,lfr_cambio,unanime,unanime,23886,23576,4,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu
346_p1387,lfr_cambio,unanime,unanime,24583,23882,4,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu
346_p1461,cambio_vp,,,26711,26711,0,
346_p1471,lfr_cambio,segun_su_voto,segun_su_voto,27517,27302,3,Horacio Rosatti — Carlos Fernando Rosenkrantz (según su voto)— Juan Carlos Maque
346_p1483,lfr_cambio,disidencia,disidencia,27735,27715,4,Horacio Rosatti (en disidencia)— Carlos Fernando Rosenkrantz — Juan Carlos Maque
