caso_id_canonico,materia,materia_capa,materia_fuente
343_p35,laboral,capa2,parte(1)
343_p37,,pendiente_capa2,sin_ancla
343_p38,,originaria,originaria
343_p42,electoral,capa1,regla:electoral
343_p47,penal,capa1,regla:casacion penal
343_p52,laboral,capa1,regla:\bdel trabajo\b
343_p55,previsional,capa1,regla:seguridad social
343_p60,laboral,capa1,regla:\bdel trabajo\b
343_p63,penal,capa2,norma:24767+objeto(2)
343_p80,laboral,capa1,regla:\bdel trabajo\b
343_p86,contencioso_administrativo,capa1,regla:contencioso administrativo
343_p103,,pendiente_capa2,sin_ancla
343_p110,civil_comercial,capa2,objeto(1)
343_p113,tributario,capa2,kw(1)
343_p116,contencioso_administrativo,capa2,provincia:ca
343_p119,contencioso_administrativo,capa2,objeto(1)
343_p124,laboral,capa1,regla:\bdel trabajo\b
343_p128,tributario,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d)
343_p131,contencioso_administrativo,capa1,regla:contencioso administrativo
343_p132,civil_comercial,capa1,regla:\ben lo comercial\b
343_p133,,pendiente_capa2,sin_ancla
343_p139,laboral,capa2,parte(1)
343_p140,consumo,capa2,kw(1)
343_p154,civil_comercial,capa2,objeto(1)
343_p156,contencioso_administrativo,capa2,provincia:ca
343_p161,,pendiente_capa2,sin_ancla
343_p166,contencioso_administrativo,capa2,provincia:ca
343_p168,penal,capa1,regla:casacion penal
343_p181,laboral,capa2,objeto(1)
343_p184,civil_comercial,capa2,objeto(1)
343_p193,penal,capa1,regla:casacion penal
343_p195,contencioso_administrativo,capa1,regla:contencioso administrativo
343_p264,contencioso_administrativo,capa1,regla:contencioso administrativo
343_p283,,originaria,originaria
343_p300,,pendiente_capa2,sin_ancla
343_p305,,pendiente_capa2,conflicto_capa2:civil_comercial/penal
343_p319,,originaria,originaria
343_p334,contencioso_administrativo,capa2,provincia:ca
343_p341,laboral,capa2,kw(1)
343_p345,civil_comercial,capa1,regla:\ben lo civil\b
343_p354,,pendiente_capa2,sin_ancla
343_p365,constitucional,capa2,objeto(1)
343_p373,ambiental,capa2,norma:24051+norma:25675(2)
343_p389,civil_comercial,capa2,objeto(1)
343_p396,ambiental,capa2,norma:24051+norma:25675(2)
343_p412,,pendiente_capa2,sin_ancla
343_p425,contencioso_administrativo,capa2,provincia:ca
343_p432,,pendiente_capa2,sin_ancla
343_p440,,pendiente_capa2,sin_ancla
343_p463,,pendiente_capa2,sin_ancla
343_p473,contencioso_administrativo,capa2,coocur:corralito_emergencia
343_p476,laboral,capa1,regla:\bdel trabajo\b
343_p486,penal,capa2,kw+norma:24767+objeto(3)
343_p495,,pendiente_capa2,sin_ancla
343_p498,tributario,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d)
343_p506,civil_comercial,capa1,regla:\ben lo civil\b
343_p519,ambiental,capa2,kw+norma:25675(2)
343_p536,civil_comercial,capa1,regla:\ben lo civil\b
343_p538,tributario,capa2,parte(1)
343_p547,,originaria,originaria
343_p560,civil_comercial,capa1,regla:\ben lo civil\b
343_p576,civil_comercial,capa1,regla:\ben lo civil\b
343_p580,civil_comercial,capa2,objeto(1)
343_p593,,pendiente_capa2,sin_ancla
343_p595,civil_comercial,capa1,regla:civil y comercial federal
343_p603,ambiental,capa2,kw+norma:25675(2)
343_p625,,pendiente_capa2,sin_ancla
343_p637,,pendiente_capa2,sin_ancla
343_p646,tributario,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d)
343_p648,contencioso_administrativo,capa2,provincia:ca
343_p656,contencioso_administrativo,capa1,regla:contencioso administrativo
343_p681,contencioso_administrativo,capa1,regla:contencioso administrativo
343_p702,tributario,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d)
343_p711,,originaria,originaria
343_p720,contencioso_administrativo,capa2,provincia:ca
343_p723,previsional,capa1,regla:seguridad social
343_p726,ambiental,capa2,kw+norma:25675(2)
343_p740,penal,capa2,kw(1)
343_p748,ambiental,capa2,kw(1)
343_p749,contencioso_administrativo,capa2,provincia:ca
343_p763,ambiental,capa2,kw+norma:25675(2)
343_p767,contencioso_administrativo,capa2,provincia:ca
343_p795,previsional,capa2,parte(1)
343_p798,previsional,capa1,regla:seguridad social
343_p803,previsional,capa1,regla:seguridad social
343_p806,contencioso_administrativo,capa2,objeto(1)
343_p815,civil_comercial,capa2,objeto(1)
343_p819,laboral,capa1,regla:\bdel trabajo\b
343_p827,contencioso_administrativo,capa1,regla:contencioso administrativo
343_p840,contencioso_administrativo,capa1,regla:contencioso administrativo
343_p845,,pendiente_capa2,sin_ancla
343_p848,civil_comercial,capa1,regla:civil y comercial federal
343_p867,laboral,capa2,norma:23551(1)
343_p892,previsional,capa1,regla:seguridad social
343_p897,penal,capa1,regla:casacion penal
343_p902,penal,capa1,regla:casacion penal
343_p908,laboral,capa1,regla:\bdel trabajo\b
343_p913,civil_comercial,capa1,regla:\ben lo civil\b
343_p919,civil_comercial,capa2,objeto(1)
343_p930,,originaria,originaria
343_p938,,pendiente_capa2,sin_ancla
343_p944,contencioso_administrativo,capa2,provincia:ca
343_p947,laboral,capa1,regla:\bdel trabajo\b
343_p951,penal,capa1,regla:casacion penal
343_p956,civil_comercial,capa1,regla:civil y comercial federal
343_p961,civil_comercial,capa2,objeto(1)
343_p967,tributario,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d)
343_p970,penal,capa1,regla:criminal y correccional
343_p987,previsional,capa1,regla:seguridad social
343_p988,,pendiente_capa2,conflicto_capa2:civil_comercial/contencioso_administrativo
343_p990,contencioso_administrativo,capa1,regla:contencioso administrativo
343_p1019,civil_comercial,capa2,objeto(1)
343_p1023,contencioso_administrativo,capa2,provincia:ca
343_p1024,laboral,capa2,coocur:indemniz_despido
343_p1031,,pendiente_capa2,conflicto_capa2:contencioso_administrativo/tributario
343_p1037,laboral,capa1,regla:\bdel trabajo\b
343_p1075,penal,capa2,norma:24767+objeto(2)
