caso_id_canonico,tipo,norma,ambito,n_menciones
329_p2827,ley,24241,considerando,2
329_p2827,ley,24463,considerando,1
329_p2829,ley,24463,considerando,1
329_p2830,ley,23515,considerando,1
329_p2830,ley,18037,voto,1
329_p2830,ley,23515,voto,1
329_p2834,ley,18037,considerando,1
329_p2834,ley,24463,considerando,1
329_p2844,ley,21965,considerando,1
329_p2844,ley,23982,considerando,1
329_p2844,ley,24624,considerando,1
329_p2864,ley,1893,considerando,3
329_p2876,ley,21526,considerando,1
329_p2876,ley,24144,considerando,1
329_p2876,ley,24485,considerando,1
329_p2876,ley,24627,considerando,1
329_p2886,ley,19549,considerando,3
329_p2886,ley,19549,voto,5
329_p2890,ley,15464,considerando,1
329_p2890,ley,18345,considerando,1
329_p2890,ley,19108,considerando,1
329_p2890,ley,22866,considerando,1
329_p2890,ley,22969,considerando,1
329_p2890,ley,23853,considerando,1
329_p2890,ley,4055,considerando,1
329_p2911,ley,1285,considerando,1
329_p2922,ley,18345,considerando,1
329_p2925,ley,1285,considerando,1
329_p2929,ley,1285,considerando,1
329_p2929,ley,1285,voto,1
329_p2937,ley,24463,considerando,1
329_p2939,ley,24463,considerando,1
329_p2939,ley,4094,considerando,2
329_p2939,ley,4902,considerando,1
329_p2946,ley,1285,dispositivo,1
329_p2946,ley,14467,dispositivo,1
329_p2946,ley,24289,dispositivo,1
329_p2967,ley,20091,considerando,1
329_p3019,ley,25561,considerando,2
329_p3021,ley,5124,considerando,2
329_p3021,ley,5124,voto,2
329_p3027,ley,24779,considerando,1
329_p3027,ley,2818,considerando,2
329_p3027,ley,2818,voto,1
329_p3065,ley,1285,considerando,1
329_p3074,ley,1285,considerando,1
329_p3074,ley,20744,considerando,2
329_p3089,ley,18037,considerando,2
329_p3089,ley,23928,considerando,1
329_p3089,ley,24463,considerando,2
329_p3089,ley,25561,considerando,1
329_p3089,ley,25565,considerando,1
329_p3100,ley,14370,considerando,1
329_p3100,ley,24241,considerando,1
329_p3100,ley,24463,considerando,1
329_p3103,ley,23627,considerando,1
329_p3103,ley,23982,considerando,1
329_p3109,ley,24937,considerando,4
329_p3122,ley,23551,voto,1
329_p3127,ley,24522,dispositivo,1
329_p3134,ley,24522,voto,1
329_p3148,ley,21839,considerando,3
329_p3148,ley,24432,considerando,6
329_p3165,ley,1285,considerando,1
329_p3165,ley,2668,considerando,1
329_p3168,ley,19349,considerando,2
329_p3168,ley,21965,considerando,1
329_p3168,ley,24059,considerando,2
329_p3190,ley,1285,considerando,1
