caso_id_canonico,disposicion,reenvia,parte_ganadora,via_recurso,multi_recurso,es_revision_fondo,admisibilidad,causa_inadmisibilidad,es_queja
347_p759,no_fondo,no,no_aplica,recurso_extraordinario,no,no,inadmite,ART_280,1
347_p768,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p775,revoca,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p778,revoca,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p785,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,si,si,admite,,1
347_p790,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p802,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,si,si,admite,,1
347_p811,revoca,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p818,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,si,admite,,0
347_p823,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p824,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p833,no_fondo,no,no_aplica,,no,no,no_aplica,,0
347_p843,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,si,si,admite,,1
347_p856,no_fondo,no,no_aplica,,no,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,1
347_p863,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p876,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p880,no_fondo,no,no_aplica,recurso_extraordinario,no,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0
347_p893,no_revision_competencia,no,no_aplica,,no,no,sin_marcador,,0
347_p903,no_fondo,no,no_aplica,recurso_extraordinario,no,no,inadmite,RESOLUCION_NO_RECURRIBLE,0
347_p905,revoca,no,recurrente_gana,recurso_extraordinario,no,si,admite,,0
347_p917,no_fondo,no,no_aplica,recurso_extraordinario,no,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0
347_p924,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p936,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p943,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p947,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p952,revoca,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p957,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,0
347_p959,no_revision_demanda,no,no_aplica,,no,no,no_aplica,,0
347_p969,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p971,revoca,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p993,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p1001,no_fondo,no,no_aplica,recurso_extraordinario,si,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,1
347_p1013,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p1021,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p1022,revoca,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p1031,no_revision_procesal,no,no_aplica,recurso_extraordinario,no,no,inadmite,FALTA_FUNDAMENTACION_AUTONOMA,0
347_p1046,no_fondo,no,no_aplica,,no,no,inadmite,INADMISIBLE_REMITE_DICTAMEN,1
347_p1058,revoca,si,recurrente_gana,recurso_extraordinario,no,si,admite,,0
347_p1061,no_fondo,no,no_aplica,recurso_extraordinario,si,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,1
347_p1081,no_fondo,no,no_aplica,recurso_extraordinario,si,no,admite,,1
347_p1084,no_fondo,no,no_aplica,,no,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,1
347_p1128,revoca,si,recurrente_gana,recurso_extraordinario,no,si,admite,,0
347_p1134,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p1137,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p1151,confirma,no,recurrente_pierde,recurso_extraordinario,no,si,admite,,1
347_p1166,confirma,no,recurrente_pierde,recurso_extraordinario,no,si,admite,,1
347_p1177,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p1184,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p1185,revoca,no,recurrente_gana,recurso_extraordinario,no,si,admite,,0
347_p1191,confirma,no,recurrente_pierde,recurso_extraordinario,si,si,admite,,0
347_p1201,revoca,si,recurrente_gana,recurso_extraordinario,no,si,admite,,0
347_p1210,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p1215,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p1218,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p1223,revoca,si,recurrente_gana,recurso_extraordinario,no,si,admite,,0
347_p1230,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p1234,revoca,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p1248,no_revision_procesal,no,no_aplica,recurso_extraordinario,no,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,1
347_p1250,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p1254,revoca,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p1259,no_fondo,no,no_aplica,recurso_extraordinario,no,no,inadmite,INADMISIBLE_REMITE_DICTAMEN,1
347_p1277,no_fondo,no,no_aplica,recurso_extraordinario,si,no,sin_marcador,,0
347_p1282,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p1288,revoca,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p1313,confirma,no,recurrente_pierde,recurso_extraordinario,no,si,admite,,1
347_p1327,confirma,no,recurrente_pierde,recurso_extraordinario,si,si,admite,,0
347_p1340,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p1344,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p1353,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p1360,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p1363,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p1375,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p1376,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p1377,no_fondo,no,no_aplica,,no,no,inadmite,CUESTION_ABSTRACTA,0
347_p1378,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p1381,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p1383,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p1384,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p1385,no_fondo,no,no_aplica,,no,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,1
347_p1386,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p1396,no_fondo,no,no_aplica,recurso_extraordinario,si,no,inadmite,ART_280,1
347_p1403,revoca,no,recurrente_gana,recurso_extraordinario,si,si,admite,,1
347_p1434,no_fondo,no,no_aplica,recurso_extraordinario,no,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,0
347_p1446,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p1463,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p1471,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p1476,revoca,no,recurrente_gana,recurso_extraordinario,no,si,admite,,0
347_p1492,confirma,si,recurrente_pierde,recurso_ordinario,no,si,admite,,0
347_p1495,no_fondo,no,no_aplica,,no,no,no_aplica,,0
347_p1527,confirma,no,recurrente_pierde,recurso_extraordinario,si,si,admite,,1
347_p1586,confirma,no,recurrente_pierde,recurso_extraordinario,no,si,admite,,0
347_p1593,confirma,no,recurrente_pierde,recurso_extraordinario,si,si,admite,,1
347_p1620,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,si,si,admite,,1
347_p1632,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p1648,revoca,no,recurrente_gana,recurso_extraordinario,no,si,admite,,0
347_p1673,revoca,no,recurrente_gana,recurso_extraordinario,si,si,admite,,1
347_p1697,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,0
