voto_id,caso_id_canonico,tomo,date,juez,source_file,linea_inicio,linea_fin_real,primera_del_caso,doble_cod,cod_juez_ok,cod_posicion,cod_tipo_voto_sep,cod_fragmenta_ratio,cod_punto_divergencia,cod_completitud_caso,notas
329_p1723::6,329_p1723,329,23 de mayo de 2006,Argibay,LibroVol329.2.md,13333,14687,0,0,,,,,,,
329_p1756::0,329_p1756,329,23 de mayo de 2006,Petracchi,LibroVol329.2.md,14688,14767,1,0,,,,,,,
329_p1756::1,329_p1756,329,23 de mayo de 2006,Highton de Nolasco,LibroVol329.2.md,14688,14767,0,0,,,,,,,
329_p1756::2,329_p1756,329,23 de mayo de 2006,Maqueda,LibroVol329.2.md,14688,14767,0,0,,,,,,,
329_p1756::3,329_p1756,329,23 de mayo de 2006,Zaffaroni,LibroVol329.2.md,14688,14767,0,0,,,,,,,
329_p1756::4,329_p1756,329,23 de mayo de 2006,Lorenzetti,LibroVol329.2.md,14688,14767,0,0,,,,,,,
329_p1756::5,329_p1756,329,23 de mayo de 2006,Argibay,LibroVol329.2.md,14688,14767,0,0,,,,,,,
329_p1805::0,329_p1805,329,23 de mayo de 2006,Petracchi,LibroVol329.2.md,16509,16798,1,0,,,,,,,
329_p1805::1,329_p1805,329,23 de mayo de 2006,Highton de Nolasco,LibroVol329.2.md,16509,16798,0,0,,,,,,,
329_p1805::2,329_p1805,329,23 de mayo de 2006,Fayt,LibroVol329.2.md,16509,16798,0,0,,,,,,,
329_p1805::3,329_p1805,329,23 de mayo de 2006,Maqueda,LibroVol329.2.md,16509,16798,0,0,,,,,,,
329_p1805::4,329_p1805,329,23 de mayo de 2006,Zaffaroni,LibroVol329.2.md,16509,16798,0,0,,,,,,,
329_p1805::5,329_p1805,329,23 de mayo de 2006,Lorenzetti,LibroVol329.2.md,16509,16798,0,0,,,,,,,
329_p1805::6,329_p1805,329,23 de mayo de 2006,Argibay,LibroVol329.2.md,16509,16798,0,0,,,,,,,
329_p182::0,329_p182,329,14 de febrero de 2006,Highton de Nolasco,LibroVol329.1.md,6694,6774,1,0,,,,,,,
329_p182::1,329_p182,329,14 de febrero de 2006,Maqueda,LibroVol329.1.md,6694,6774,0,0,,,,,,,
329_p182::2,329_p182,329,14 de febrero de 2006,Zaffaroni,LibroVol329.1.md,6694,6774,0,0,,,,,,,
329_p182::3,329_p182,329,14 de febrero de 2006,Lorenzetti,LibroVol329.1.md,6694,6774,0,0,,,,,,,
329_p182::4,329_p182,329,14 de febrero de 2006,Argibay,LibroVol329.1.md,6694,6774,0,0,,,,,,,
329_p1862::0,329_p1862,329,23 de mayo de 2006,Petracchi,LibroVol329.2.md,18668,19184,1,0,,,,,,,
329_p1862::1,329_p1862,329,23 de mayo de 2006,Highton de Nolasco,LibroVol329.2.md,18668,19184,0,0,,,,,,,
329_p1862::2,329_p1862,329,23 de mayo de 2006,Fayt,LibroVol329.2.md,18668,19184,0,0,,,,,,,
329_p1862::3,329_p1862,329,23 de mayo de 2006,Maqueda,LibroVol329.2.md,18668,19184,0,0,,,,,,,
329_p1862::4,329_p1862,329,23 de mayo de 2006,Zaffaroni,LibroVol329.2.md,18668,19184,0,0,,,,,,,
329_p1862::5,329_p1862,329,23 de mayo de 2006,Lorenzetti,LibroVol329.2.md,18668,19184,0,0,,,,,,,
329_p1862::6,329_p1862,329,23 de mayo de 2006,Argibay,LibroVol329.2.md,18668,19184,0,0,,,,,,,
329_p1908::0,329_p1908,329,23 de mayo de 2006,Petracchi,LibroVol329.2.md,20478,20542,1,0,,,,,,,
